id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,comment_clean,auto_labeled
2945792,5,спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3234340,5,спасибо!,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3380332,5,Отлично ,0.0,0.0,0.0,0.0,0.0,отлично,True
3381812,5,Благодарю за оперативное решение проблемы ! ,1.0,0.0,0.0,0.0,1.0,благодарю за оперативное решение проблемы !,True
3461991,5,Прекрасный специалист! Побольше таких,0.0,0.0,0.0,0.0,0.0,прекрасный специалист! побольше таких,True
3551430,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3572768,1,"пересчет, и скорость 
",0.0,0.0,0.0,0.0,0.0,"пересчет, и скорость",True
3584536,5,Спасибо за обновление покраски стен,0.0,0.0,0.0,0.0,1.0,спасибо за обновление покраски стен,True
3596020,5,выполнили быстро,1.0,0.0,0.0,1.0,0.0,выполнили быстро,True
3617808,5,Спасибо! ,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3627490,5,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку ,1.0,0.0,0.0,0.0,1.0,спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку,True
3657819,5,"спасибо 
",0.0,0.0,0.0,0.0,1.0,спасибо,True
3691620,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3695420,5,Решили мой вопрос. Спасибо! ,0.0,0.0,0.0,0.0,1.0,решили мой вопрос. спасибо!,True
3716702,5,Очень радует работа УК. Оперативно! Спасибо!,1.0,0.0,0.0,0.0,1.0,очень радует работа ук. оперативно! спасибо!,True
3726842,5,Все исправили ,0.0,0.0,0.0,0.0,0.0,все исправили,True
3745025,5,спасибо за оперативную работу ,0.0,0.0,0.0,0.0,1.0,спасибо за оперативную работу,True
3749719,5,"Выполнили отлично , обработка заявки была слишком дорогой ",0.0,0.0,0.0,1.0,0.0,"выполнили отлично , обработка заявки была слишком дорогой",True
3751364,5,спасибо большое! теперь не скрипят ,0.0,0.0,0.0,0.0,1.0,спасибо большое! теперь не скрипят,True
3766183,5,спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3770102,5,Спасибо!,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3773834,1,Норм,0.0,0.0,0.0,0.0,0.0,норм,True
3791959,5,спасибо. все прошло очень хорошо,0.0,0.0,0.0,0.0,1.0,спасибо. все прошло очень хорошо,True
3797804,5,"Спасибо, пришли все поменяли за 10 минут ",0.0,0.0,0.0,0.0,1.0,"спасибо, пришли все поменяли за 10 минут",True
3799741,5,Все очень оперативно ,1.0,0.0,0.0,0.0,0.0,все очень оперативно,True
3802024,5,Огромное спасибо.,0.0,0.0,0.0,0.0,1.0,огромное спасибо.,True
3805876,5,Все отлично! Спасибо.,0.0,0.0,0.0,0.0,1.0,все отлично! спасибо.,True
3812092,5,Хороший мастер,0.0,0.0,0.0,0.0,0.0,хороший мастер,True
3815412,5,"Спасибо за оперативность! 
",1.0,0.0,0.0,0.0,1.0,спасибо за оперативность!,True
3820641,5,"выполнена

",0.0,0.0,0.0,0.0,0.0,выполнена,True
3828569,5,"Все супер, Мастер 👍",0.0,0.0,0.0,0.0,0.0,"все супер, мастер 👍",True
3829748,5,Благодарю ребят.,0.0,0.0,0.0,0.0,1.0,благодарю ребят.,True
3831509,5,Спасибо большое ,0.0,0.0,0.0,0.0,1.0,спасибо большое,True
3831883,5,спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3832952,5,Спасибо!,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3834081,5,"Проблема решена, ручки на окна поставили.
Спасибо за обратную связь!",0.0,0.0,0.0,0.0,1.0,"проблема решена, ручки на окна поставили.
спасибо за обратную связь!",True
3835748,5,Благодарю за проделанную работу! ,0.0,0.0,0.0,0.0,1.0,благодарю за проделанную работу!,True
3835874,5,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0.0,0.0,0.0,0.0,0.0,"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",True
3839647,5,"Спасибо, всё чётко.",0.0,0.0,0.0,0.0,1.0,"спасибо, всё чётко.",True
3840353,5,Благодарю ,0.0,0.0,0.0,0.0,1.0,благодарю,True
3841026,5,Спасибо Сергей ! )))),0.0,0.0,0.0,0.0,1.0,спасибо сергей ! )))),True
3842440,5,"Михаил отличный мастер своего дела. Сделал быстро, чисто, дал рекомендации)",1.0,0.0,0.0,0.0,0.0,"михаил отличный мастер своего дела. сделал быстро, чисто, дал рекомендации)",True
3842790,5,хоть что то сделали 👍👏,0.0,0.0,0.0,1.0,0.0,хоть что то сделали 👍👏,True
3843760,5,спасибо),0.0,0.0,0.0,0.0,1.0,спасибо),True
3844645,5,"профессионально, быстро. очень приятный мастер",1.0,0.0,0.0,0.0,0.0,"профессионально, быстро. очень приятный мастер",True
3846820,5,спасибо! ,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3846831,5,"Спасибо, вопрос решили, всё стало нормально ",0.0,0.0,0.0,0.0,1.0,"спасибо, вопрос решили, всё стало нормально",True
3848236,5,Татьяна Владимировна большое вам спасибо!!!! ,0.0,0.0,0.0,0.0,1.0,татьяна владимировна большое вам спасибо!!!!,True
3850021,5,спасибо! ,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3850118,1,"спасибо за  быстрый ответ! 


",0.0,0.0,0.0,0.0,1.0,спасибо за  быстрый ответ!,True
3852179,5,Огромное спасибо вам от всего подъезда!!!   ))))),0.0,0.0,0.0,0.0,1.0,огромное спасибо вам от всего подъезда!!!   ))))),True
3852743,5,спасибо!),0.0,0.0,0.0,0.0,1.0,спасибо!),True
3852975,5,спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3854073,5,Все отлично ,0.0,0.0,0.0,0.0,0.0,все отлично,True
3856028,1,свершилось,0.0,0.0,0.0,0.0,0.0,свершилось,True
3859764,5,Спасибо мастеру ,0.0,0.0,0.0,0.0,1.0,спасибо мастеру,True
3859780,5,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",1.0,0.0,0.0,0.0,1.0,"спасибо, вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",True
3860248,5,"Среагировали быстро, благодарю ",1.0,0.0,0.0,0.0,1.0,"среагировали быстро, благодарю",True
3860900,5,Спасибо за оперативность!,1.0,0.0,0.0,0.0,1.0,спасибо за оперативность!,True
3862448,5,Отличный мастер!,0.0,0.0,0.0,0.0,0.0,отличный мастер!,True
3863351,5,"Спасибо! По крайней мере, по ночам пока шума не слышно.",0.0,0.0,0.0,0.0,1.0,"спасибо! по крайней мере, по ночам пока шума не слышно.",True
3863609,5,Быстро ,1.0,0.0,0.0,0.0,0.0,быстро,True
3866829,5,Спасибо за своевременное выполнение заявки...,0.0,0.0,0.0,0.0,1.0,спасибо за своевременное выполнение заявки...,True
3866867,5,все сделали быстро. спасибо ,1.0,0.0,0.0,1.0,1.0,все сделали быстро. спасибо,True
3868883,5,всё отлично 👍,0.0,0.0,0.0,0.0,0.0,всё отлично 👍,True
3871379,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3872124,5,"Большое спасибо Александру,за оперативность и профессионализм ",1.0,0.0,0.0,0.0,1.0,"большое спасибо александру,за оперативность и профессионализм",True
3872129,5,благодарю ,0.0,0.0,0.0,0.0,1.0,благодарю,True
3873692,5,оперативно и качественно. спасибо ,1.0,1.0,0.0,0.0,1.0,оперативно и качественно. спасибо,True
3874941,5,Спасибо!,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3875262,5,"благодарю, всего доброго!",0.0,0.0,0.0,0.0,1.0,"благодарю, всего доброго!",True
3876790,5,спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3876998,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3877186,5,Спасибо большое! ,0.0,0.0,0.0,0.0,1.0,спасибо большое!,True
3877315,5,Спасибо!,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3877334,3,К мастеру вопросов нет.  ,0.0,0.0,0.0,0.0,0.0,к мастеру вопросов нет.,True
3877901,5,"Мастер быстро решил проблему!Всё исправил,очень довольна!Спасибо!",1.0,0.0,0.0,0.0,1.0,"мастер быстро решил проблему!всё исправил,очень довольна!спасибо!",True
3878088,5,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции ",0.0,0.0,0.0,0.0,1.0,"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции",True
3878555,5,спасибо большое! надолго ли🙄,0.0,0.0,0.0,0.0,1.0,спасибо большое! надолго ли🙄,True
3878808,5,Огромное спасибо! ,0.0,0.0,0.0,0.0,1.0,огромное спасибо!,True
3879856,5,Всё очень четко организовано! Большое спасибо за работу!,0.0,0.0,0.0,0.0,1.0,всё очень четко организовано! большое спасибо за работу!,True
3880345,5,Спасибо Вам большое и за дверь и за номера квартир!,0.0,0.0,0.0,0.0,1.0,спасибо вам большое и за дверь и за номера квартир!,True
3880717,3,снимаю звезду за первую отписку без выполнения работ,0.0,0.0,0.0,0.0,0.0,снимаю звезду за первую отписку без выполнения работ,True
3881004,5,"В день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность ! ",1.0,0.0,0.0,0.0,0.0,"в день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность !",True
3881432,5,Спасибо!,0.0,0.0,0.0,0.0,1.0,спасибо!,True
3881460,5,Спасибо! Все заработало ,0.0,0.0,0.0,0.0,1.0,спасибо! все заработало,True
3881636,5,"спасибо, решили мой вопрос на месте в офисе ",0.0,0.0,0.0,0.0,1.0,"спасибо, решили мой вопрос на месте в офисе",True
3882840,5,"Спасибо больше Ольге Птушкине, за проделанную работу! ",0.0,0.0,0.0,0.0,1.0,"спасибо больше ольге птушкине, за проделанную работу!",True
3883049,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3883200,5,"всё сделали хорошо, починили вовремя. наверное, молодцы.",0.0,0.0,0.0,1.0,0.0,"всё сделали хорошо, починили вовремя. наверное, молодцы.",True
3883457,5,Спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3883549,5,Супер! Спасибо!,0.0,0.0,0.0,0.0,1.0,супер! спасибо!,True
3883658,5,Отлично! Все выполнили как и обещали! ,0.0,0.0,0.0,1.0,0.0,отлично! все выполнили как и обещали!,True
3883736,5,Очень оперативно. Спасибо большое ,1.0,0.0,0.0,0.0,1.0,очень оперативно. спасибо большое,True
3883745,5,"Мастер Андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. Огромное ему спасибо.",1.0,1.0,0.0,0.0,1.0,"мастер андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. огромное ему спасибо.",True
3883823,5,Спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3884514,5,спасибо,0.0,0.0,0.0,0.0,1.0,спасибо,True
3884705,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3884964,5,Умело подкрутили редукторы давления. Молодец!,0.0,0.0,0.0,0.0,0.0,умело подкрутили редукторы давления. молодец!,True
3885089,5,"все хорошо,дверь практически бесшумно закрывается",0.0,0.0,0.0,0.0,0.0,"все хорошо,дверь практически бесшумно закрывается",True
3885291,5,Спасибо ,0.0,0.0,0.0,0.0,1.0,спасибо,True
3885807,5,спасибо),0.0,0.0,0.0,0.0,1.0,спасибо),True
3886150,5,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. Спасибо сотрудникам",0.0,0.0,0.0,0.0,1.0,"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. спасибо сотрудникам",True
3886231,5,"быстро, чётко, без проблем. одно слово - мастер! ",1.0,0.0,0.0,0.0,0.0,"быстро, чётко, без проблем. одно слово - мастер!",True
3886721,5,Работает. Спасибо!,0.0,0.0,0.0,0.0,1.0,работает. спасибо!,True
3886923,5,"сегодня ездил, все исправно работает, спасибо!",0.0,0.0,0.0,0.0,1.0,"сегодня ездил, все исправно работает, спасибо!",True
