comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен
благодарю за оперативное решение проблемы !,1,0,0,0,1
прекрасный специалист! побольше таких,0,0,0,0,0
"пересчет, и скорость",1,0,0,0,0
спасибо за обновление покраски стен,0,0,0,0,1
выполнили быстро,1,0,0,1,0
спасибо управляющей компании за то что  прислали грамотного специалиста и быстро отреагировали на заявку,1,0,1,0,1
решили мой вопрос. спасибо!,0,0,0,0,1
очень радует работа ук. оперативно! спасибо!,1,0,0,0,1
все исправили,0,0,0,0,1
спасибо за оперативную работу,0,0,0,0,1
"выполнили отлично , обработка заявки была слишком дорогой",0,0,0,1,0
спасибо большое! теперь не скрипят,0,0,0,0,1
спасибо. все прошло очень хорошо,0,0,0,0,1
"спасибо, пришли все поменяли за 10 минут",0,0,0,0,1
все очень оперативно,1,0,0,0,0
огромное спасибо.,0,0,0,0,1
все отлично! спасибо.,0,0,0,1,1
хороший мастер,0,0,0,0,0
спасибо за оперативность!,1,0,0,0,1
выполнена,0,0,0,0,0
"все супер, мастер 👍",0,0,0,0,0
благодарю ребят.,0,0,0,0,1
спасибо большое,0,0,0,0,1
спасибо за обратную связь!",0,0,0,0,1
благодарю за проделанную работу!,0,0,0,0,1
"надеюсь и причину устранили, а то после первого дождя будет тоже самое..",0,0,0,0,1
"спасибо, всё чётко.",0,0,0,0,1
спасибо сергей ! )))),0,0,0,0,1
"михаил отличный мастер своего дела. сделал быстро, чисто, дал рекомендации)",1,0,1,0,0
хоть что то сделали 👍👏,0,0,0,1,0
спасибо),0,0,0,0,1
"профессионально, быстро. очень приятный мастер",1,0,1,0,0
"спасибо, вопрос решили, всё стало нормально",0,0,0,0,1
татьяна владимировна большое вам спасибо!!!!,0,0,0,0,1
спасибо за  быстрый ответ!,0,0,0,0,1
огромное спасибо вам от всего подъезда!!!   ))))),0,0,0,0,1
спасибо!),0,0,0,0,1
все отлично,0,0,0,1,0
свершилось,0,0,0,0,0
спасибо мастеру,0,0,0,0,1
"спасибо, вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",1,0,0,0,1
"среагировали быстро, благодарю",1,0,0,0,1
спасибо за оперативность!,1,0,0,0,1
отличный мастер!,0,0,0,0,0
"спасибо! по крайней мере, по ночам пока шума не слышно.",0,0,0,0,1
быстро,1,0,0,0,0
спасибо за своевременное выполнение заявки...,0,0,0,0,1
все сделали быстро. спасибо,1,0,0,1,1
всё отлично 👍,0,0,0,0,0
"большое спасибо александру,за оперативность и профессионализм",1,0,1,0,1
оперативно и качественно. спасибо,1,1,0,0,1
"благодарю, всего доброго!",0,0,0,0,1
спасибо большое!,0,0,0,0,1
к мастеру вопросов нет.,0,0,0,0,1
"мастер быстро решил проблему!всё исправил,очень довольна!спасибо!",1,0,0,0,1
"вытяжка заработала - спасибо. отдельное спасибо мастеру, который сообщил, что нет причин, препятствующих подключению вытяжки к домовой вентиляции",0,0,0,0,1
спасибо большое! надолго ли🙄,0,0,0,0,1
огромное спасибо!,0,0,0,0,1
всё очень четко организовано! большое спасибо за работу!,0,0,0,0,1
спасибо вам большое и за дверь и за номера квартир!,0,0,0,0,1
снимаю звезду за первую отписку без выполнения работ,0,0,0,0,0
"в день создания заявки , рабочие оперативно пришли и весь ужас убрали , огромная благодарность !",1,0,0,0,0
спасибо! все заработало,0,0,0,0,1
"спасибо, решили мой вопрос на месте в офисе",0,0,0,0,1
"спасибо больше ольге птушкине, за проделанную работу!",0,0,0,0,1
"всё сделали хорошо, починили вовремя. наверное, молодцы.",0,0,0,1,0
супер! спасибо!,0,0,0,0,1
отлично! все выполнили как и обещали!,0,0,0,1,0
очень оперативно. спасибо большое,1,0,0,0,1
"мастер андрей помог подобрать оборудование (краны/переходники) для подключения, быстро и качественно произвел подключение стиральной машинки. огромное ему спасибо.",1,1,0,0,1
умело подкрутили редукторы давления. молодец!,0,0,0,0,0
"все хорошо,дверь практически бесшумно закрывается",0,0,0,0,0
спасибо),0,0,0,0,1
"проблемы как таковой не было, я в процессе поиска страх компании и всего лишь. спасибо сотрудникам",0,0,1,0,1
"быстро, чётко, без проблем. одно слово - мастер!",1,0,1,0,0
работает. спасибо!,0,0,0,0,1
"сегодня ездил, все исправно работает, спасибо!",0,0,0,0,1
"спасибо большое, всё понятно.",0,0,0,0,1
татьяна спасибо ❤️,0,0,0,0,1
на вопрос ответили. крепления нельзя повесить в колясочной,0,0,0,0,0
большое спасибо!,0,0,0,0,1
лучший,0,0,0,0,0
спасибо за оперативность,1,0,0,0,1
спасибо за то что быстро отреагировали,1,0,0,0,1
"сервис на высоте, мастер - профессионал",0,0,1,0,0
спасибо большое,0,0,0,0,1
надолго ли(,0,0,0,0,0
надолго ли(,0,0,0,0,0
спасибо. все работает,0,1,0,0,1
спасибо большое!,0,0,0,0,1
"заявка выполнена, спасибо.",0,0,0,1,1
дверь закрывается намного лучше.,0,0,0,0,0
спасибо за быстрое реагирование!!!,1,0,0,0,1
"оперативно сработали, благодарю.",1,0,0,0,1
спасибо большое,0,0,0,0,1
"спасибо сантехнику алексею, все сделано качественно",0,1,0,0,1
"огромное человеческое спасибо за оперативность выполнения работы нашему дежурному сантехнику, прибывшему в воскресенье через 20 минут после написания заявки! все решилось наилучшим образом! вот так бы все вопросы оперативно решались!!!",1,0,0,0,1
очень оперативно и никуда не пришлось ходить.,1,0,0,0,0
проблема решена.,0,0,0,0,0
очень оперативно отреагировали! спасибо!,1,0,0,0,1
